"name","date","followers","followers_change","rank","republican","followers_1k","description","date_label"
"berniesanders",2019-12-21,3972839,3287,3,FALSE,3973,"Coronavirus yet to occur","2019-12-21 :  Coronavirus yet to occur"
"joebiden",2019-12-21,1399100,828,5,FALSE,1399,"Coronavirus yet to occur","2019-12-21 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-21,2191430,2240,4,FALSE,2191,"Coronavirus yet to occur","2019-12-21 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-21,15769494,22064,2,TRUE,15769,"Coronavirus yet to occur","2019-12-21 :  Coronavirus yet to occur"
"sentedcruz",2019-12-21,420156,1012,6,TRUE,420,"Coronavirus yet to occur","2019-12-21 :  Coronavirus yet to occur"
"barackobama",2019-12-22,25421423,4769,1,FALSE,25421,"Coronavirus yet to occur","2019-12-22 :  Coronavirus yet to occur"
"berniesanders",2019-12-22,3975185,2346,3,FALSE,3975,"Coronavirus yet to occur","2019-12-22 :  Coronavirus yet to occur"
"joebiden",2019-12-22,1399883,783,5,FALSE,1400,"Coronavirus yet to occur","2019-12-22 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-22,2193236,1806,4,FALSE,2193,"Coronavirus yet to occur","2019-12-22 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-22,15784945,15451,2,TRUE,15785,"Coronavirus yet to occur","2019-12-22 :  Coronavirus yet to occur"
"sentedcruz",2019-12-22,420618,462,6,TRUE,421,"Coronavirus yet to occur","2019-12-22 :  Coronavirus yet to occur"
"barackobama",2019-12-23,25425555,4132,1,FALSE,25426,"Coronavirus yet to occur","2019-12-23 :  Coronavirus yet to occur"
"berniesanders",2019-12-23,3979581,4396,3,FALSE,3980,"Coronavirus yet to occur","2019-12-23 :  Coronavirus yet to occur"
"joebiden",2019-12-23,1400685,802,5,FALSE,1401,"Coronavirus yet to occur","2019-12-23 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-23,2194340,1104,4,FALSE,2194,"Coronavirus yet to occur","2019-12-23 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-23,15793243,8298,2,TRUE,15793,"Coronavirus yet to occur","2019-12-23 :  Coronavirus yet to occur"
"sentedcruz",2019-12-23,420910,292,6,TRUE,421,"Coronavirus yet to occur","2019-12-23 :  Coronavirus yet to occur"
"barackobama",2019-12-24,25430287,4732,1,FALSE,25430,"Coronavirus yet to occur","2019-12-24 :  Coronavirus yet to occur"
"berniesanders",2019-12-24,3982113,2532,3,FALSE,3982,"Coronavirus yet to occur","2019-12-24 :  Coronavirus yet to occur"
"joebiden",2019-12-24,1401334,649,5,FALSE,1401,"Coronavirus yet to occur","2019-12-24 :  Coronavirus yet to occur"
