,tweet_id,is_retweet,time,text,replies,retweets,likes
173,1255130302655148033,False,2020-04-28 06:42:38,Texas to open businesses in phases beginning Friday. Great job being done by @GregAbbott_TX,9493,26230,148207
174,1255129366234890240,False,2020-04-28 06:38:54,Many States moving to SAFELY & QUICKLY reopen!,21029,32979,214884
175,1255105998471249923,False,2020-04-28 05:06:03,"We are doing far more, and better, Testing than any other country in the world, and yet the media does nothing but complain. No matter how good a job is done, the same as with the Ventilators, they will never say we are doing a great job, they will only viciously gripe!",57304,38657,220653
176,1254856881409056769,True,2020-04-27 12:36:09,"First, there is no shortage of meat destined for the grocery store shelf. 

It might take stores longer than usual to restock certain products, due to supply chain disruptions. But we have many millions of pounds of meat in cold storage across the nation. 4/",1320,7016,20662
177,1254908072067313670,True,2020-04-27 15:59:34,pic.twitter.com/12Lv2yr07h,14782,18045,81546
178,1254904177852997632,True,2020-04-27 15:44:05,"Attorney General Barr’s Memo to U.S. Attorneys: 

“The Constitution is not suspended in times of crisis.” 

The Attorney General is right. We can’t forget freedom during the #coronavirus crisis. pic.twitter.com/KMKbtroziZ",5621,21992,54746
179,1254967193420402696,False,2020-04-27 19:54:29,Because Shifty is a crooked politician! https://twitter.com/Jim_Jordan/status/1254774339527835650 …,14851,29812,114634
180,1254769296280031232,True,2020-04-27 06:48:07,"FAKE NEWS, THE ENEMY OF THE PEOPLE!",73412,81179,402286
181,1254767509460234243,True,2020-04-27 06:41:01,"There has never been, in the history of our Country, a more vicious or hostile Lamestream Media than there is right now, even in the midst of a National Emergency, the Invisible Enemy!",43003,47590,217360
182,1254747293414305792,True,2020-04-27 05:20:41,"Blame the Democrats for any “lateness” in your Enhanced Unemployment Insurance. I wanted the money to be paid directly, they insisted it be paid by states for distribution. I told them this would happen, especially with many states which have old computers.",35889,43757,177546
183,1254586604360011776,True,2020-04-26 18:42:10,So true! https://twitter.com/realDonaldTrump/status/1254172638307586049 …,26833,27190,136283
184,1254904154977337345,True,2020-04-27 15:44:00,"President @realDonaldTrump's plan for Opening Up America Again outlined a three-phased approach based on the advice of public health experts.

Today, we're laying out the blueprint for testing and rapid response programs called for in the plan.

http://45.wh.gov/Af4JT7 ",4425,7116,28747
185,1254908072067313670,False,2020-04-27 15:59:34,pic.twitter.com/12Lv2yr07h,14782,18045,81546
186,1254899426008666122,True,2020-04-27 15:25:12,"""We're doing everything in our power to heal the sick and to gradually reopen our Nation."" pic.twitter.com/xEapbkT6hd",3794,7921,36249
187,1254896129315082245,True,2020-04-27 15:12:06,"As one American family, we grieve with those who have suffered the loss of loved ones. pic.twitter.com/qhoX0OP0Ol",3162,6947,31979
188,1254887576403456000,True,2020-04-27 14:38:07,LIVE: President @realDonaldTrump holds a news conference https://www.pscp.tv/w/cXX2vzFxTFFHVnJ5UkFKRUp8MURYeHllcGF2UmR4TXQTW_35-q-xk8i9w6jNGF6IkAYIs3w2tTkzjHV8sU1S …,6233,7002,24930
189,1254877727804600321,False,2020-04-27 13:58:59,I will be having a White House Press Conference today at 5:30 P.M. Thank you!,21822,16133,127673
190,1254782650679615492,False,2020-04-27 07:41:11,"Why should the people and taxpayers of America be bailing out poorly run states (like Illinois, as example) and cities, in all cases Democrat run and managed, when most of the other states are not looking for bailout help? I am open to discussing anything, but just asking?",77863,47075,219128
191,1254769296280031232,False,2020-04-27 06:48:07,"FAKE NEWS, THE ENEMY OF THE PEOPLE!",73412,81179,402286
192,1254767509460234243,False,2020-04-27 06:41:01,"There has never been, in the history of our Country, a more vicious or hostile Lamestream Media than there is right now, even in the midst of a National Emergency, the Invisible Enemy!",43003,47590,217360
193,1254747293414305792,False,2020-04-27 05:20:41,"Blame the Democrats for any “lateness” in your Enhanced Unemployment Insurance. I wanted the money to be paid directly, they insisted it be paid by states for distribution. I told them this would happen, especially with many states which have old computers.",35889,43757,177546
194,1254586604360011776,False,2020-04-26 18:42:10,So true! https://twitter.com/realDonaldTrump/status/1254172638307586049 …,26833,27190,136283
195,1254174221481246721,True,2020-04-25 15:23:30,"I never said the pandemic was a Hoax! Who would say such a thing? I said that the Do Nothing Democrats, together with their Mainstream Media partners, are the Hoax. They have been called out & embarrassed on this, even admitting they were wrong, but continue to spread the lie!",94578,58221,281384
196,1254475682723307520,True,2020-04-26 11:21:24,"The people that know me and know the history of our Country say that I am  the hardest working President in history. I don’t know about that, but I am a hard worker and have probably gotten more done in the first 3 1/2 years than any President in history. The Fake News hates it!",85345,51720,289532
197,1254551597465518082,True,2020-04-26 16:23:03,Sloppy Joe is trending. I wonder if it's because of this. You can tell it's a deep fake because Jill Biden isn't covering for him. pic.twitter.com/LMzx7fpMaP,11212,14136,38549
198,1254407439748866055,True,2020-04-26 06:50:14,"Article should have read: Trump as businessman had a passive, non-controlling/managing interest in an office building which had financing from Bank of China for less than 22 days (in 2012). Biden, meanwhile as VP flew his son on AF2 to China to secure 1.5Bil for his fund in 2013 https://twitter.com/EricTrump/status/1254403028163141638 …",7339,21193,57559
199,1254427530464858115,True,2020-04-26 08:10:04,Devin Nunes-“Why is General Flynn Important? Because He Was Framed By His Own Government!!” #HumanScum @DevinNunes @GenFlynn  @realDonaldTrump @SidneyPowell1 @KerriKupecDOJ @JosephJFlynn1 @TomFitton https://twitter.com/Acyn/status/1254422240482877440 …,3066,23127,51679
200,1254215201911644163,False,2020-04-25 18:06:20,Had a great call with Catholic Leaders and Educators earlier today. I will be online tomorrow at 10:15 A.M. (Eastern) for Sunday Mass celebrated by @CardinalDolan at St. Patrick’s Cathedral (@StPatsNYC) in New York City. Join me: https://saintpatrickscathedral.org/live pic.twitter.com/iQy5iH5Lk6,14178,17358,82648
201,1254174221481246721,False,2020-04-25 15:23:30,"I never said the pandemic was a Hoax! Who would say such a thing? I said that the Do Nothing Democrats, together with their Mainstream Media partners, are the Hoax. They have been called out & embarrassed on this, even admitting they were wrong, but continue to spread the lie!",94578,58221,281384
202,1254172638307586049,False,2020-04-25 15:17:13,"Remember, the Cure can’t be worse than the problem itself. Be careful, be safe, use common sense!",53639,60164,334485
203,1254168730898173953,False,2020-04-25 15:01:41,"What is the purpose of having White House News Conferences when the Lamestream Media asks nothing but hostile questions, & then refuses to report the truth or facts accurately. They get record ratings, & the American people get nothing but Fake News. Not worth the time & effort!",97892,53468,244287
